Time,   TOPUPCC:rdEffBoostR [%],   TOPUPCC:rdCur [mA],   LINAC1C:rdHVS_C [µA],   TOPUPCC:rdCurrentB [mA],   PAHB:sDelay [ns],   CUMZD4R:rdLt10 [h],   PAHR:sCavSet [],   
08/05/2017 01:48:55.327677,   88.1873,   19.9819,   -3.81947,   0.818263,   1.7,   -0.346743,   500,   
08/05/2017 01:48:56.327397,   88.1873,   19.9756,   -3.81947,   0.354697,   1.7,   -0.205547,   500,   
08/05/2017 01:48:57.327359,   88.1873,   19.9681,   -3.6458,   0.832335,   1.7,   -0.161576,   500,   
08/05/2017 01:48:58.327257,   88.1873,   19.9621,   -3.6458,   0.804587,   1.7,   -0.146519,   500,   
08/05/2017 01:48:59.326512,   88.1873,   19.9548,   -3.6458,   0.805242,   1.7,   -0.147047,   500,   
08/05/2017 01:49:00.325868,   88.1873,   19.9487,   -3.81947,   0.807006,   1.7,   -0.16312,   500,   
08/05/2017 01:49:01.325147,   88.1873,   19.9401,   -3.81947,   0.828928,   1.7,   -0.208123,   500,   
08/05/2017 01:49:02.324709,   88.1873,   19.9335,   -3.81947,   0.818481,   1.7,   -0.35574,   500,   
08/05/2017 01:49:03.323862,   88.1873,   19.9266,   -3.81947,   0.820267,   1.7,   -5.35963,   500,   
08/05/2017 01:49:04.323053,   88.1873,   20.1508,   -3.6458,   0.791261,   1.7,   -5.61318,   500,   
08/05/2017 01:49:05.322777,   88.4467,   20.2016,   -3.6458,   0.81039,   1.7,   -0.359253,   500,   
08/05/2017 01:49:06.322436,   88.4467,   20.194,   -3.81947,   0.840893,   1.7,   -0.210967,   500,   
08/05/2017 01:49:07.322208,   88.4467,   20.1881,   -3.81947,   0.833886,   1.7,   -0.165308,   500,   
08/05/2017 01:49:08.322130,   88.4467,   20.1805,   -3.6458,   -0.00641951,   1.7,   -0.14944,   500,   
08/05/2017 01:49:09.321831,   88.4467,   20.1728,   -3.6458,   -0.00303533,   1.7,   -0.149852,   500,   
08/05/2017 01:49:10.321725,   88.4467,   20.1678,   -3.6458,   -0.00115582,   1.7,   -0.166068,   500,   
08/05/2017 01:49:11.321453,   88.4467,   20.1614,   -3.6458,   -0.00474878,   1.7,   -0.212403,   500,   
08/05/2017 01:49:12.320944,   88.4467,   20.1537,   -3.81947,   -0.00136176,   1.7,   -0.367221,   500,   
08/05/2017 01:49:13.320133,   88.4467,   20.1457,   -3.81947,   -0.00521553,   1.7,   -6.98211,   500,   
08/05/2017 01:49:14.319294,   88.4467,   20.1404,   -3.81947,   -0.00102357,   1.7,   0.766443,   500,   
08/05/2017 01:49:15.319099,   88.4467,   20.1322,   -3.81947,   -0.000665865,   1.7,   0.764425,   500,   
08/05/2017 01:49:16.318965,   88.4467,   20.1261,   -3.81947,   -0.00244177,   1.7,   0.771614,   500,   
08/05/2017 01:49:17.318252,   88.4467,   20.1177,   -3.81947,   -0.000725962,   1.7,   0.770797,   500,   
08/05/2017 01:49:18.317346,   88.4467,   20.1113,   -3.81947,   -0.00585246,   1.7,   0.768536,   500,   
08/05/2017 01:49:19.317122,   88.4467,   20.1043,   -3.47219,   -0.00220429,   1.7,   0.779403,   500,   
08/05/2017 01:49:20.316256,   88.4467,   20.0972,   -3.6458,   0.000100284,   1.7,   0.785168,   500,   
08/05/2017 01:49:21.315546,   88.4467,   20.0913,   -3.6458,   -0.00239158,   1.7,   0.790638,   500,   
08/05/2017 01:49:22.314937,   88.4467,   20.0818,   -3.6458,   -0.00122398,   1.7,   0.785455,   500,   
08/05/2017 01:49:23.314273,   88.4467,   20.0771,   -3.6458,   -0.00071657,   1.7,   0.785823,   500,   
08/05/2017 01:49:24.313772,   88.4467,   20.0691,   -3.6458,   0.000578716,   1.7,   0.789794,   500,   
08/05/2017 01:49:25.313732,   88.4467,   20.0636,   -3.6458,   -0.00167147,   1.7,   0.785829,   500,   
08/05/2017 01:49:26.312954,   88.4467,   20.0565,   -3.6458,   -0.00743335,   1.7,   0.790818,   500,   
08/05/2017 01:49:27.312136,   88.4467,   20.0508,   -3.6458,   -0.00206504,   1.7,   0.782254,   550,   
08/05/2017 01:49:28.312128,   88.4467,   20.0419,   -3.6458,   -0.00426368,   1.7,   0.783279,   550,   
08/05/2017 01:49:29.311773,   88.4467,   20.0371,   -3.6458,   -0.00214639,   1.7,   0.796937,   550,   
08/05/2017 01:49:30.310914,   88.4467,   20.0315,   -3.6458,   -0.00917717,   1.7,   0.802856,   550,   
08/05/2017 01:49:31.310716,   88.4467,   20.0269,   -3.6458,   -0.00703277,   1.7,   0.826135,   550,   
08/05/2017 01:49:32.310326,   88.4467,   20.0202,   -3.6458,   -0.00250022,   1.7,   0.857057,   550,   
08/05/2017 01:49:33.310275,   88.4467,   20.0148,   -3.81947,   -0.000451935,   1.7,   0.896896,   550,   
08/05/2017 01:49:34.310104,   88.4467,   20.0111,   -3.6458,   0.00033649,   1.7,   0.944286,   550,   
08/05/2017 01:49:35.309800,   88.4467,   20.0045,   -3.6458,   0.0019003,   1.7,   0.989862,   550,   
08/05/2017 01:49:36.309076,   88.4467,   19.9976,   -3.47219,   -0.00172382,   1.7,   1.018,   550,   
08/05/2017 01:49:37.308694,   88.4467,   19.9942,   -3.6458,   -0.000280376,   1.7,   1.02507,   550,   
08/05/2017 01:49:38.308627,   88.4467,   19.988,   -3.6458,   -0.0020457,   1.7,   1.03312,   550,   
08/05/2017 01:49:39.308013,   88.4467,   19.9825,   -3.6458,   -0.00040635,   1.7,   1.01182,   550,   
08/05/2017 01:49:40.307086,   88.4467,   19.9769,   -3.6458,   -0.000993018,   1.7,   0.995303,   550,   
08/05/2017 01:49:41.306266,   88.4467,   19.9712,   -3.6458,   -0.00149105,   1.7,   0.970142,   550,   
08/05/2017 01:49:42.306261,   88.4467,   19.9661,   -3.6458,   -0.00416177,   1.7,   0.960022,   550,   
08/05/2017 01:49:43.305789,   88.4467,   19.9609,   -3.6458,   -0.00101649,   1.7,   0.966091,   550,   
08/05/2017 01:49:44.304887,   88.4467,   20.2319,   -3.6458,   0.787133,   1.7,   -2.31814,   550,   
08/05/2017 01:49:45.303976,   90.983,   20.2383,   -3.6458,   0.792056,   1.7,   -0.328179,   550,   
08/05/2017 01:49:46.303084,   90.983,   20.2321,   -3.47219,   0.819236,   1.7,   -0.199669,   550,   
08/05/2017 01:49:47.302247,   90.983,   20.2258,   -3.47219,   0.809262,   1.7,   -0.158365,   600,   
08/05/2017 01:49:48.301415,   90.983,   20.2213,   -3.6458,   -0.00304183,   1.7,   -0.143728,   600,   
08/05/2017 01:49:49.300574,   90.983,   20.2172,   -3.6458,   -0.00547394,   1.7,   -0.143895,   600,   
08/05/2017 01:49:50.300557,   90.983,   20.2115,   -3.6458,   -0.00443644,   1.7,   -0.158666,   600,   
08/05/2017 01:49:51.300429,   90.983,   20.206,   -3.47219,   -0.00336126,   1.7,   -0.200249,   600,   
08/05/2017 01:49:52.300389,   90.983,   20.2013,   -3.6458,   -0.00336126,   1.7,   -0.32656,   600,   
08/05/2017 01:49:53.299565,   90.983,   20.1971,   -3.6458,   -0.0047702,   1.7,   -1.9481,   600,   
08/05/2017 01:49:54.298614,   90.983,   20.194,   -3.6458,   0.000137693,   1.7,   1.10567,   600,   
08/05/2017 01:49:55.297633,   90.983,   20.1889,   -3.6458,   0.0018373,   1.7,   1.1353,   600,   
08/05/2017 01:49:56.297623,   90.983,   20.1825,   -3.47219,   -0.00249217,   1.7,   1.18066,   600,   
08/05/2017 01:49:57.296662,   90.983,   20.179,   -3.47219,   -0.00210766,   1.7,   1.18874,   600,   
08/05/2017 01:49:58.296508,   90.983,   20.174,   -3.6458,   -0.00538233,   1.7,   1.16557,   600,   
08/05/2017 01:49:59.296513,   90.983,   20.1697,   -3.6458,   0.000344216,   1.7,   1.16395,   600,   
08/05/2017 01:50:00.295601,   90.983,   20.1643,   -3.47219,   -0.00122652,   1.7,   1.17971,   600,   
08/05/2017 01:50:01.294700,   90.983,   20.1603,   -4.51389,   -0.00816704,   1.7,   1.18315,   600,   
08/05/2017 01:50:02.293864,   90.983,   20.155,   -3.6458,   0.00141522,   1.7,   1.18811,   600,   
08/05/2017 01:50:03.293052,   90.983,   20.1507,   -3.6458,   -0.00075124,   1.7,   1.18862,   600,   
08/05/2017 01:50:04.292716,   90.983,   20.1452,   -3.6458,   -0.00498771,   1.7,   1.19221,   600,   
