Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 01:19:05.604900,91.0607,0.047146,-3.6458,-0.00621005,0,-3.69821,1120
08/05/2017 01:19:06.604036,91.0607,0.0491006,-3.6458,-0.00460005,0,-2.37719,1120
08/05/2017 01:19:07.603476,91.0607,0.0489114,-3.6458,-0.00173428,0,-2.0727,1120
08/05/2017 01:19:08.603250,91.0607,0.0494079,-3.6458,-0.00130134,0,-5.25182,1120
08/05/2017 01:19:09.603034,91.0607,0.0498388,-3.6458,-0.00275573,0,3.20397,1120
08/05/2017 01:19:10.602891,91.0607,0.0480783,-3.6458,-0.00865455,0.05,3.92675,1120
08/05/2017 01:19:11.602713,91.0607,0.0496809,-3.6458,-0.00363158,0.05,-7.12545,1120
08/05/2017 01:19:12.601796,91.0607,0.0485411,-3.6458,-0.0122448,0.05,-2.05432,1120
08/05/2017 01:19:13.601290,91.0607,0.0485808,-3.6458,-0.0050336,0.05,-2.15807,1120
08/05/2017 01:19:14.600669,91.0607,0.0490106,-3.81947,-0.00508335,0.05,-6.84988,1120
08/05/2017 01:19:15.600345,91.0607,0.0490032,-3.47219,-0.00335434,0.05,2.1289,1120
08/05/2017 01:19:16.599525,91.0607,0.0486506,-3.6458,0.723623,0.05,0.0260748,1120
08/05/2017 01:19:17.599496,66.6416,0.238311,-3.6458,0.709443,0.05,0.0100678,1120
08/05/2017 01:19:18.599153,66.6416,0.237908,-3.6458,0.769334,0.05,0.00566095,1120
08/05/2017 01:19:19.598624,68.4703,0.447651,-3.47219,0.753608,0,0.00385439,1120
08/05/2017 01:19:20.597729,68.4703,0.447187,-3.6458,0.426523,0.1,0.00291449,1120
08/05/2017 01:19:21.596884,67.3157,0.646871,-3.47219,0.734063,0.1,0.00234618,1120
08/05/2017 01:19:22.596072,67.3157,0.645629,-3.6458,0.725672,0.1,0.0019507,1120
08/05/2017 01:19:23.595653,65.6628,0.848019,-3.6458,0.766039,0.1,0.0016443,1120
08/05/2017 01:19:24.594820,65.6628,0.847624,-3.6458,0.763412,0.1,0.00137407,1120
08/05/2017 01:19:25.594811,66.3547,1.04001,-3.6458,0.716606,0.1,0.00109859,1120
08/05/2017 01:19:26.594607,66.3547,1.04024,-3.47219,0.736605,0.1,0.000824039,1120
08/05/2017 01:19:27.594468,65.1769,1.11542,-3.6458,0.279557,0.1,0.000520513,1120
08/05/2017 01:19:28.593812,65.1769,1.114,-3.6458,0.797375,0.1,0.000193218,1120
08/05/2017 01:19:29.593521,63.8167,1.30351,-3.81947,0.739744,0.1,-0.000147822,1120
08/05/2017 01:19:30.593258,63.8167,1.30438,-3.47219,0.812538,0.1,-0.000483239,1120
08/05/2017 01:19:31.592604,60.6133,1.49264,-3.6458,0.755673,0.1,-0.000800918,1120
