Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 04:19:02.147134,78.4829,47.7988,-3.6458,0.694051,1.7,-0.112353,1120
08/05/2017 04:19:03.146501,78.8822,48.0049,-3.6458,0.64968,1.7,-0.109211,1120
08/05/2017 04:19:04.145812,79.5609,48.0049,-3.6458,0.653755,1.7,-0.115968,1120
08/05/2017 04:19:05.145064,79.5609,48.2446,-3.6458,0.718255,1.7,-0.111371,1120
08/05/2017 04:19:06.144408,78.2286,48.245,-3.6458,0.707866,1.7,-0.117283,1120
08/05/2017 04:19:07.143688,78.2286,48.4826,-3.6458,0.708504,1.7,-0.112331,1120
08/05/2017 04:19:08.143002,78.284,48.4829,-3.6458,0.748066,1.7,-0.117933,1120
08/05/2017 04:19:09.142175,78.284,48.712,-3.6458,0.730151,1.7,-0.112025,1120
08/05/2017 04:19:10.141355,78.4649,48.7122,-3.6458,0.730151,1.7,-0.116466,1120
08/05/2017 04:19:11.140539,78.4649,48.9503,-3.6458,0.650705,1.7,-0.110407,1120
08/05/2017 04:19:12.139824,79.8732,48.9487,-3.6458,0.725015,1.7,-0.114803,1120
08/05/2017 04:19:13.138993,79.8732,49.1673,-3.81947,0.719691,1.7,-0.111017,1120
08/05/2017 04:19:14.138263,78.9203,49.1662,-3.81947,-0.00456975,1.7,-0.119278,1120
08/05/2017 04:19:15.137466,78.9203,49.1666,-3.6458,0.00227269,1.7,-0.128407,1120
08/05/2017 04:19:16.137202,78.9203,49.1665,-3.6458,0.000336716,1.7,-0.153963,1120
08/05/2017 04:19:17.137170,78.9203,49.1655,-3.6458,-0.0178828,1.7,-0.184009,1120
08/05/2017 04:19:18.136599,78.9203,49.1647,-3.81947,-0.00809829,1.7,-0.255881,1120
08/05/2017 04:19:19.136531,78.9203,49.1642,-3.6458,-0.00742465,1.7,-0.357367,1120
08/05/2017 04:19:20.136150,78.9203,49.163,-3.6458,-0.000244029,1.7,-0.698142,1120
08/05/2017 04:19:21.135599,78.9203,49.1607,-3.6458,8.11455e-05,1.7,-1.38906,1120
08/05/2017 04:19:22.134715,78.9203,49.1614,-3.6458,-0.0111374,1.7,20.3333,1120
08/05/2017 04:19:23.134593,78.9203,49.16,-3.81947,-0.00640148,1.7,21.7767,1120
08/05/2017 04:19:24.134591,78.9203,49.1612,-3.81947,-0.00338927,1.7,21.61,1120
08/05/2017 04:19:25.134497,78.9203,49.1595,-3.6458,1.14286e-05,1.7,20.8027,1120
08/05/2017 04:19:26.134178,78.9203,49.1585,-3.6458,0.00550566,1.7,-14.3738,1120
08/05/2017 04:19:27.133239,79.8728,49.3953,-3.6458,0.71618,1.7,-0.998973,1120
08/05/2017 04:19:28.132232,79.8728,49.3958,-3.6458,0.706078,1.7,-0.541067,1120
08/05/2017 04:19:29.132211,80.0346,49.6414,-3.6458,0.703111,1.7,-0.300096,1120
08/05/2017 04:19:30.131337,79.5319,49.6399,-3.81947,0.748949,1.7,-0.222446,1120
08/05/2017 04:19:31.130443,77.8249,49.8745,-3.47219,0.748707,1.7,-0.165752,1120
08/05/2017 04:19:32.129760,77.8249,49.8741,-3.6458,0.708308,1.7,-0.142276,1120
08/05/2017 04:19:33.129015,78.6503,50.1029,-3.6458,0.696692,1.7,-0.122456,1120
08/05/2017 04:19:34.128882,80.0972,50.1029,-3.81947,0.716044,1.7,-0.116738,1120
08/05/2017 04:19:40.124752,78.6115,0.274759,-3.6458,0.69016,0,0.00206896,1120
08/05/2017 04:19:41.124301,74.7703,0.486768,-3.81947,0.710005,0,0.00194457,1120
08/05/2017 04:19:42.123459,74.7703,0.486979,-3.6458,0.681864,0,0.00185317,1120
08/05/2017 04:19:43.122954,73.4153,0.695604,-3.6458,0.699091,0,0.00178638,1120
08/05/2017 04:19:44.122278,73.4153,0.697191,-3.81947,0.683949,0,0.0017483,1120
08/05/2017 04:19:45.121344,59.5522,0.862564,-3.81947,0.67688,0,0.00159071,1120
